author,comment,publishedTimeText,replyCount,voteCount,comment_after_cleansing,cluster,label
@GMGAUTO2004-p1y,Saya bertanya kepada Dr.tirta.....Bagaimana pandangan dokter tentang generasi X pada saat ini yg secara kasat mata terjadi persaingan dg generasi z terutama persaingan dalam bisnis,7 days ago,0,0,drtirtabagaimana pandang dokter generasi x yg kasat mata saing dg generasi z saing bisnis,4,Promosi Judi
@hanacaraka8907,"Kalo menurut saya, mulai bisnis tidak selalu dengan nilai modal uang tertentu, karena apa? Karena tiap orang punya latar belakang yg berbeda. Jadi bisa jadi ada yg mulia bisnis tanpa modal uang, tapi ada yg baru bisa mulai bisnis dengan modal uang tertentu. So, berbisnis itu adalah berusaha untuk mempunyai penghasilan secara mandiri, salah satunya melalui jalur ""berdagang"" atau jual beli.  Jadi yg bisa mulai silahkan segera mulai  sesuai kemampuannya, bagi yg belum ya cari saat yang pas. Semangat Berusaha!",7 days ago (edited),0,0,kalo bisnis nilai modal uang orang latar yg beda yg mulia bisnis modal uang yg bisnis modal uang so bisnis usaha hasil mandiri salah satu jalur dagang jual beli yg silah sesuai mampu yg ya cari pas semangat usaha,1,Bukan PromosiJudi
@kizyumi-q7g,.,7 days ago,0,0,,4,Promosi Judi
@Quest58989,Motivator itu teori saja. Mereka cari uang dari tamu undangan.,8 days ago,0,0,motivator teori cari uang tamu undang,4,Promosi Judi
@nandajaya8209,"privilege lebih menjamin daripada luck, lu anak siapa, keluarga darimana, bahkan cerita manga one piece aja, seorang Mongkey D Luffy bukan orang sembarangan, Kakeknya seorang laksamana, bapaknya pemimpin pasukan revolusi, ya begitulah cara dunia bekerja wkwkwk",8 days ago,0,0,privilege jamin luck lu anak keluarga darimana cerita manga one piece aja mongkey d luffy orang sembarang kakek laksamana bapak pimpin pasu revolusi ya dunia wkwkwk,4,Promosi Judi
@AjiAji-w5j6t,Gw yg generasi sandwich bukan karna ortu pengen tpi mereka udh tua dan g mampu kerja jdi smua gw yg atur dan perkataan dokter sangat benarr kondisi yg kaya gw pasti bisanya survive atau bertahan dengan keadaan,8 days ago,0,0,gw yg generasi sandwich karna ortu ken tpi udh tua g kerja jdi smua gw yg atur kata dokter benarr kondisi yg kaya gw bisa survive tahan,1,Bukan PromosiJudi
@Quest58989,"Saat ini situasi sedang sangat sangat sangat sulit utk pengusaha dan rakyat. Rezim hanya ingin menyenangkan pendukung dengan mengangkatnya sebagai Komisaris, ASN bukan meritocracy. Kebencian kepada pengusaha, rakyat biasa, mahasiswa, akademisi, sangat sangat tajam. Rakyat pun diusir ke yemen. Masih melawan? Siram air keras? Demo? Tandingan demo, bahkan dibayar resmi utk berlawanan demi MBG. Kasus Ijazah yg jelas jelas pelanggaran nya pun tidak di bahas oleh DPR. Total diam DPR. Sama percis Puan dan Gibran, karbitan incompetence yg merasa bapake yg punya negara. 😂😂😂",9 days ago (edited),0,0,situasi sulit utk usaha rakyat rezim senang dukung angkat komisaris asn meritocracy benci usaha rakyat mahasiswa akademisi tajam rakyat usir yen lawan siram air keras demo tanding demo bayar resmi utk lawan mbg ijazah yg langgar nya bahas dpr total diam dpr percis puan gibran karbitan incompetence yg bapake yg negara,1,Bukan PromosiJudi
@Mr.SinatMondol,Dari JP kecil sampai gede semua aku dapet dari𝙋𝙐𝙇𝘼𝙪777. ❤️,5 hours ago,0,0,jp gede dapet dari777,4,Promosi Judi
@shis.bhai.yt_01,Mengisi harimu lebih indah diＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩ...check google❤,5 hours ago,0,0,isi hari indah check google,4,Promosi Judi
@shis.bhai.yt_01,Aman terpercaya peminat terbanyakＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩdi Indonesia💛,5 hours ago,0,0,aman percaya minat indonesia,4,Promosi Judi
@shis.bhai.yt_01,Terpopuler menang berapapun di bayarＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩMember baru pasti jepee💛,5 hours ago,0,0,populer menang bayar member jepee,4,Promosi Judi
@shis.bhai.yt_01,peminat terbanyakＢＡ Ｎ Ｔ Ｅ Ｎ ＧＨ Ｏ ＫＩdi Indonesia❤bukan hanya kata tapi nyata menyala 🥰,5 hours ago,0,0,minat indonesiabukan nyata nyala,4,Promosi Judi
@shis.bhai.yt_01,peminat terbanyakＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩdi Indonesia❤Bukti nyata psti jepee🥰,5 hours ago,0,0,minat indonesiabukti nyata psti jepee,4,Promosi Judi
@shis.bhai.yt_01,Coba main modal receh di ＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩehh malah meledak🤑,5 hours ago,0,0,coba main modal receh ehh ledak,4,Promosi Judi
@shis.bhai.yt_01,peminat terbanyakＢ Ａ Ｎ Ｔ Ｅ Ｎ ＧＨ Ｏ ＫＩdi Indonesia❤bukan hanya kata tapi nyata menyala 🥰,5 hours ago,0,0,minat indonesiabukan nyata nyala,4,Promosi Judi
@shis.bhai.yt_01,Coba main modal receh di ＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩ...ehh malah meledak🤑,5 hours ago,0,0,coba main modal receh ehh ledak,4,Promosi Judi
@shis.bhai.yt_01,Terpopuler ＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩ Member baru pasti jepee❤,5 hours ago,0,0,populer member jepee,4,Promosi Judi
@shis.bhai.yt_01,ＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩ..Gachorrrr nya kebangetan plssss❤,5 hours ago,0,0,gachorrrr nya banget plssss,4,Promosi Judi
@shis.bhai.yt_01,ＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩ..Banyak bonus member auto betah❤,5 hours ago,0,0,bonus member auto betah,4,Promosi Judi
@shis.bhai.yt_01,ＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩ..Member baru pasti jepe❤,5 hours ago,0,0,member jepe,4,Promosi Judi
@shis.bhai.yt_01,ＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩ menang lebih mudah❤,5 hours ago,0,0,menang mudah,4,Promosi Judi
@shis.bhai.yt_01,Terpopuler BA N T EN GH OKI Member baru pasti jepee❤,5 hours ago,0,0,populer ba n t en gh oki member jepee,4,Promosi Judi
@AbuHussain-z3n6q,"PU LA U777emang gak pernah zonk, hasilnya selalu nyata.",5 hours ago,0,0,pu la u777emang gak zonk hasil nyata,4,Promosi Judi
@AbuHussain-z3n6q,Setiap main pasti ada aja rezeki baru dari𝓟𝓤𝓛𝓐𝓤777.,5 hours ago,0,0,main aja rezeki dari777,4,Promosi Judi
@afdhalmuhammad7198,"Saldo kosong
Semua kosong
😂😂😂😂",9 days ago,0,0,saldo kosong kosong,4,Promosi Judi
@inayahnuraini7745,"Video yang udah saya putar berkali-kali kalo lagi butuh tamparan dari Dokter Tirtawon. Aku sarjana pendidikan,26thn belum nikah, saat ini kerja sebagai karyawan swasta dan udah setahun nyambi merintis kolam pemancingan ikan bawal. Mental tergembleng banget ditengah ketidakpastian usaha. Oleh karena itu pantang resign, kalo blm ada back up kuat dan mending double job. Usaha udah mau setahun, badainya makin kenceng. fokus saat ini adalah bertahan, operasional jalan, tanpa utang. Banyak nasihat bisnis yang aku praktekan dokter tawon ini. Salah satunya bahwa kalimat ""Rezeki sudah ada yang ngatur"" Terasa menenangkan ketika diri kita sudah ikhtiar. Mantapp dokk",9 days ago,0,0,video udah putar berkalikali kalo butuh tampar dokter tirtawon sarjana pendidikan26thn nikah kerja karyawan swasta udah tahun nyambi rintis kolam pancing ikan bawal mental gembleng banget tengah ketidakpastian usaha pantang resign kalo blm back up kuat mending double job usaha udah tahun badai kenceng fokus tahan operasional jalan utang nasihat bisnis praktek dokter tawon salah satu kalimat rezeki ngatur tenang ikhtiar mantapp dokk,1,Bukan PromosiJudi
@violettargovytzkaya,"Penting banget tuh buat bisnis, gap of knowledge biar paham permintaan yg perlu di-supply.",10 days ago,0,0,banget tuh bisnis gap of knowledge biar paham minta yg disupply,4,Promosi Judi
@gorul925,"Gokss abis lanjutkan boss. Omongane step by step tingkatkan lg pedesnya, lumayan buat revil bahan pelumas🫀🧠💥",10 days ago,0,0,gokss abis lanjut boss omongane step by step tingkat lg pedesnya lumayan revil bahan lumas,4,Promosi Judi
@nexuz_truth,"Ingin jadi pengusaha untuk memulai dari kecil dulu, dan lama lama bisa menjadi besar usahanya, bisa memikiki pangsa pasar yang besar seiring berjalannya waktu, pengalaman.

Dan juga ingin mencoba siapa tau bisa sukses di usia muda agar bisa finansial stable untuk keluarga dan bisa jlcepat mendapatkan jodoh",11 days ago,0,0,usaha usaha memikiki pangsa pasar iring jalan alam coba tau sukses usia muda finansial stable keluarga jlcepat jodoh,4,Promosi Judi
@mahel2d,"""Dan angan buru-buru nikah ya kalau nggak punya uang, kalian yang akan menciptakan kemiskinan yang lain"" 🔥🔥",11 days ago,0,0,angan buruburu nikah ya nggak uang cipta miskin,4,Promosi Judi
@bagasabiyyu3176,Betul dok. Sy umur 26 tahun dan uang sudah 1M,12 days ago,0,0,dok sy umur 26 uang 1m,4,Promosi Judi
@vanylaagista,Sukaaaaa❤❤,13 days ago,0,0,sukaaaaa,4,Promosi Judi
@Goldenstaff-u1z,GK punya bapak,2 weeks ago,0,0,gk,4,Promosi Judi
@hendrikprayoga-525,UMURKU 25 MERASA TELAT MENGEJAR SEMUA NYA APA SALAH GUYS,2 weeks ago,1,0,umur 25 telat kejar nya salah guys,4,Promosi Judi
@arjunasatria8050,"Setuju banget, dok. Btw iki omongan wong sing idealis tapi koyok e kegetok relalita wkwkkw. Tq you dok",2 weeks ago,0,0,tuju banget dok btw iki omong sing idealis koyok e getok relalita wkwkkw tq you dok,4,Promosi Judi
@mohammadaldi3175,Wah boyolali sarang PKI dong,2 weeks ago,0,0,boyolali sarang pki,4,Promosi Judi
@AdiBagus-l1l,Saya 28 tahun bangun pagi gak juga jadi konglomerat 😅,2 weeks ago,0,0,28 bangun pagi gak konglomerat,4,Promosi Judi
@miftachulilmi4217,"Untuk menjadi pengusaha
1. Tidak selalu dari lulusan bangku kuliahan
2. Tidak bisa dari seorang motivator 
Pengusaha itu harus punya spirit yg kuat pantang menyerah dan mampu membaca peluang
Bisnis itu bukan tentang uang tetapi tentang integritas, peluang dan kesempatan yg di lakukan
Banyak pengusaha yg latar belakang pendidikannya cuma
S1= SD
S2= SD/SMP
S3= SD/SMP/SMA
Pendidikan memang penting tapi tidak menjamin hidup kaya
Selagi sistem pendidikan di Indonesia menciptakan masyarakat pekerja dan tidak menciptakan masyarakat pencipta kerja mungkin 100 tahun kedepan Indonesia tidak akan pernah maju
Orang super kaya di Indonesia mungkin cuma sekitar 20 orang 
Kaya menengah yg punya pabrik mungkin cuma sekitar 5000 orang 
Dan yg paling banyak sekitar 69% itu usaha mikro mikro dan mikro (yg jualan cilok dan gorengan dll di pinggir jalan)
Banyak orang maunya jadi pengusaha tapi pola pikirnya pekerja 
Kalau punya spirit pengusaha uang 1 jt pun bisa berkembang bahkan mungkin tidak punya modal sama sekali asal punya spirit yg kuat di dalam diri nya
Tentukan tujuanmu dan lakukan meskipun harus jalan kaki dan butuh waktu yg lama  niscaya tujuan mu akan tercapai juga
Tidak selalu perlu punya privilege untuk menjadi pengusaha, banyak anak pengusaha hancur meskipun baru generasi ke dua
Untuk jadi pengusaha tidak butuh texs akademis apalagi butuh seorang motivator yg di butuhkan hanya pola pikir dan spirit yg kuat
1. Professional= Orang yg bekerja untuk orang lain
2. Pedagang= orang yg bekerja untuk dirinya sendiri
3. Pengusaha= orang yg membikin sistem dan ke uangan biarkan orang lain yg bekerja 
4. Investor= punya uang biarkan orang lain yg membikin sistem dan orang lain juga yg bekerja 

Tetap bersyukur apa yg di dapat hari ini, mau jadi pekerja ataupun pengusaha atau apapun itu, sama saja dan kebahagiaan itu tidak selalu di ukur dengan uang",2 weeks ago,0,0,usaha 1 lulus bangku kuliah 2 motivator usaha spirit yg kuat pantang serah baca peluang bisnis uang integritas peluang sempat yg laku usaha yg latar didik s1 sd s2 sdsmp s3 sdsmpsma didik jamin hidup kaya selagi sistem didik indonesia cipta masyarakat kerja cipta masyarakat cipta kerja 100 depan indonesia maju orang super kaya indonesia 20 orang kaya tengah yg pabrik 5000 orang yg 69 usaha mikro mikro mikro yg jual cilok goreng dll pinggir jalan orang mau usaha pola pikir kerja spirit usaha uang 1 jt kembang modal spirit yg kuat nya tentu tuju laku jalan kaki butuh yg niscaya tuju mu capai privilege usaha anak usaha hancur generasi usaha butuh texs akademis butuh motivator yg butuh pola pikir spirit yg kuat 1 professional orang yg orang 2 dagang orang yg 3 usaha orang yg bikin sistem uang biar orang yg 4 investor uang biar orang yg bikin sistem orang yg syukur yg kerja usaha apa bahagia ukur uang,3,Bukan PromosiJudi
@SyarifHidayatullahTamrin,agar tidak menyuhsahkan keluarga serta bisa membantu di sekitar agar bisa berkembang belajar belajar terus hingga jadi teliuner dan satu lagi supaya bisa berdampak bagi pebisnis pebisnis pemula kalo saya jadi pebisnis sukses itu aja makasi,2 weeks ago,0,0,menyuhsahkan keluarga bantu kembang ajar ajar teliuner dampak bisnis bisnis mula kalo bisnis sukses aja makas,4,Promosi Judi
@mariasinambela4007,Gila keren banget ini video,2 weeks ago,0,0,gila keren banget video,4,Promosi Judi
@kehidupanpenuhdrama0,Usaha karena ingin memutar kebutuhan dan hidup tenang,2 weeks ago,1,0,usaha putar butuh hidup tenang,4,Promosi Judi
@jessKD-14,ijin klip,2 weeks ago,0,0,ijin klip,4,Promosi Judi
@diva_chan,"kalo bisanya beli bekas, kenapa harus beli yang baru?
kalo bisa cash, ngapain harus kredit?
-dr. Tirta",2 weeks ago,0,0,kalo bisa beli bekas beli kalo cash ngapain kredit dr tirta,4,Promosi Judi
@Bayhaqi_Iqbal,Ilmu daging semua ini. Mantap👍🏻👍🏻👍🏻,2 weeks ago,0,0,ilmu daging mantap,4,Promosi Judi
@AbuHussain-z3n6q,TerimakasihP͟U͟L͟A͟U͟777 atas malam cuan penuh keberuntungan ❤️,5 hours ago,0,0,terimakasihpulau777 malam cuan penuh untung,4,Promosi Judi
@AbuHussain-z3n6q,🎉🎉🎉,5 hours ago,0,0,,4,Promosi Judi
@paddynathaniel9397,01:01udah gw ingetin kalo tempat yg gacorr itu BA N T EN GH OKI,6 hours ago,0,0,0101udah gw ingetin kalo yg gacorr ba n t en gh oki,4,Promosi Judi
@paddynathaniel9397,poko nya gw ingetin nama nya BA N T EN GH OKI,6 hours ago,0,0,poko nya gw ingetin nama nya ba n t en gh oki,4,Promosi Judi
@endahthoughts,Ketika komdigi gak kerja. Youtube isinya judol semua,7 hours ago,0,0,komdigi gak kerja youtube isi judol,4,Promosi Judi
@TrianaAnggreani,❤❤❤❤❤❤❤❤❤,7 hours ago,0,0,,4,Promosi Judi
@lyrical_mahmud5x,P͟U͟L͟A͟U͟777bikin aku percaya keberuntungan itu nyata.,7 hours ago,0,0,pulau777bikin percaya untung nyata,4,Promosi Judi
@lyrical_mahmud5x,"Setiap kali login keＰＵＬＡ𝙪777, selalu ada hasil manis ❤️",7 hours ago,0,0,kali login ke777 hasil manis,4,Promosi Judi
@lyrical_mahmud5x,"Gak pernah gagal,𝙋𝙐𝙇𝘼𝙪777selalu kasih hasil real.",7 hours ago,0,0,gak gagal777selalu kasih hasil real,4,Promosi Judi
@Praim.Mahadi,PU L AU 7 7 7emang tempatnya MAXWIN sejati.,8 hours ago,0,0,pu l au 7 7 7emang tempat maxwin sejati,4,Promosi Judi
@Praim.Mahadi,"PULAU777atas hoki malam ini, makasih banget ❤️",8 hours ago,0,0,pulau777atas hoki malam makasih banget,4,Promosi Judi
@eshulslam,Gak nyangka pagi ini bisa JEPE 3x di𝓟𝓤𝓛𝓐𝓤777 ❤️,8 hours ago,0,0,gak nyangka pagi jepe 3x di777,4,Promosi Judi
@eshulslam,Rezeki besar lagi-lagi datang dari P͟U͟L͟A͟U͟777.,8 hours ago,0,0,rezeki lagilagi pulau777,4,Promosi Judi
@eshulslam,"Dari kecil sampai gede JP, semua berawal dari𝙋𝙐𝙇𝘼𝙪777.",8 hours ago,0,0,gede jp dari777,4,Promosi Judi
@itsmerthkwl,"kereen bangett sih kata gua , bener2 bisa melihat dengan mata terbuka , orang2 yg bener2 pemikir kedepan terus tanpa nengok ke belakang , terus berusaha dan ikhtiar tidak putus asa . dan skrng tau apa aja yg di korbankan mereka bisa sampai se suksez sekarang ini , emg harus ada yf di korbankan entah materi / waktu tp skrng mereka berdua bisa sampai di titik akrng inu .. besstttt 🎉🎉🎉",9 hours ago,0,3,kereen bangett sih gua bener2 mata buka orang2 yg bener2 pikir depan nengok usaha ikhtiar putus asa skrng tau aja yg korban suksez emg yf korban materi tp skrng dua titik akrng inu besstttt,1,Bukan PromosiJudi
@Md-Ruzel11,01:01 serius yang belum pernah jepe bagus langsung gass di BA N T EN GH OKI.,12 hours ago,0,0,0101 serius jepe bagus langsung gass ba n t en gh oki,4,Promosi Judi
@Md-Ruzel11,ＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩ ..Modal sedikit hasil maksimal❤ 0:10,12 hours ago,0,0,modal hasil maksimal 010,4,Promosi Judi
@Md-Ruzel11,peminat terbanyakＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩdi Indonesia❤ 0:09,12 hours ago,0,0,minat indonesia 009,4,Promosi Judi
@Md-Ruzel11,TerpopulerＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩ Member baru pasti jepee❤,12 hours ago,0,0,populer member jepee,4,Promosi Judi
@Md-Ruzel11,ＢＡＮ Ｔ ＥＮ ＧＨ Ｏ ＫＩ..Member baru pasti jepe❤,12 hours ago,0,0,member jepe,4,Promosi Judi
@fajaroke3586," @hendrikprayoga-525  aman bang masih bisa itu semangat,gas aja umpung belum umur 30 ke atas 😂",10 days ago,0,0,hendrikprayoga525 aman bang semangatgas aja umpung umur 30,4,Promosi Judi
@kehidupanpenuhdrama0,"Tapi tidak semudah perkataan ini,",2 weeks ago,0,0,mudah kata,4,Promosi Judi
@editsz-w5m,saya umur 13 thn dan 5 thn lagi saya lulus dan kerja jd saya akan siapkan ilmu sebelum memulai segalanya😅😅,3 weeks ago,0,1,umur 13 thn 5 thn lulus kerja jd siap ilmu,4,Promosi Judi
@MuhammadNaufal-v6p,"Diumur 19 tahun, saya tidak hanya IPK... karena saya tidak kuliah, dan pengalaman kerja saya sudah ±1,5 tahun... kira kira bagaimana?",3 weeks ago,0,0,umur 19 ipk kuliah alam kerja 15,4,Promosi Judi
@januszaidan7489,"Saya terlahir dari keluarga yang ga punya, lulusan SMA 2021 gak kuliah, lulus langsung kerja ikut sodara jadi tukang kayu di bekasi cuma di gaji 1,2jt/bulan, bertahan 2 tahun, terus pulang ke jateng kerja di pabrik, gaji umr, ngerasa kalo di jalanin gini terus gimana nanti kalo udah punya anak istri, gaji aja cukup buat diri sendiri, abis itu keluar pengen buka usaha kecil”an tapi belum ada modal, alhamdulillah sekarang proses mau kerja ke jepang buat cari modal, tapi untuk menuju kesitu masih ada proses dan perjuangan yang menguras energi tenaga dan pikiran, tapi saya selalu meyakinkan diri saya sendiri bahwa saya pasti bisa, dengan mengandalkan keyakinan, mau berusaha, tidak menyerah dan mau survive, untuk kalian semua yang ingin bangkit dari kemiskinan, tanpa backingan, tanpa donatur, tanpa orang dalam, tetep semangat walaupun mustahil🔥",3 weeks ago,0,0,lahir keluarga ga lulus sma 2021 gak kuliah lulus langsung kerja sodara tukang kayu bekas gaji 12jtbulan tahan 2 pulang jateng kerja pabrik gaji umr ngerasa kalo jalanin gin gimana kalo udah anak istri gaji aja abis ken buka usaha kecil modal alhamdulillah proses kerja jepang cari modal kesitu proses juang uras energi tenaga pikir andal yakin usaha serah survive bangkit miskin backingan donatur orang tetep semangat mustahil,0,Bukan PromosiJudi
@glinko_food,Keren bgt dokter satu ini🔥,3 weeks ago,0,0,keren bgt dokter,4,Promosi Judi
@avrillinaputri,"Aku kuliah sambil kerja dari semester 1, kerja apa adanya. Banyak orang bilang kamu anak orang berada tapi milih kerja padahal kuliah aja enak. Tapi aku punya prinsip kalo kuliah aja ga menjamin apalagi sekarang banyak lulusan sarjana. 
Pulang kuliah langsung kerja, habis kerja lanjut belajar, kadang bantuin usaha bapak sama ibu. Capek pol tapi pengen ngelanjutin usaha bapak ibu makanya harus kuat dalam hal apapun itu",3 weeks ago,0,0,kuliah kerja semester 1 kerja orang bilang anak orang milih kerja kuliah aja enak prinsip kalo kuliah aja ga jamin lulus sarjana pulang kuliah langsung kerja habis kerja ajar kadang bantuin usaha capek pol ken ngelanjutin usaha kuat apa,0,Bukan PromosiJudi
@anangsuyanto5999,Karena saya ingin kondisi ekonomi saya tetap stabil.,3 weeks ago,0,0,kondisi ekonomi stabil,4,Promosi Judi
@aghoestsantoso8879,Koh tirta keren kalo rambutnya panjang,3 weeks ago,0,0,koh tirta keren kalo rambut,4,Promosi Judi
@zidankafabih2099,"dengan usaha, aku bisa mendapatkan uang lebih banyak walaupun banyak uncertainly, tapi menjadi pengusaha itu sangat addiktif menurut saya, dan saya suka.",3 weeks ago,0,0,usaha uang uncertainly usaha addiktif suka,4,Promosi Judi
